severity,req#,subject,logged_date,last_updated,service
medium,100002,Paper jam,10/27/2023 14:55:58 IST,10/29/2023 15:55:58 IST,Service 9
high,100006,Paper jam,08/12/2023 07:02:50 IST,08/14/2023 04:02:50 IST,Service 10
high,100007,Cannot connect to printer,08/12/2023 14:08:28 IST,08/14/2023 23:08:28 IST,Service 4
high,100010,Low ink warning,10/17/2023 21:51:06 IST,10/18/2023 13:51:06 IST,Service 2
medium,100012,Cannot connect to printer,03/21/2023 11:02:31 IST,03/23/2023 00:02:31 IST,Service 7
high,100015,Printer spooler error,10/16/2023 20:46:20 IST,10/18/2023 15:46:20 IST,Service 7
high,100020,Low ink warning,07/18/2023 02:14:43 IST,07/19/2023 20:14:43 IST,Service 10
medium,100021,Paper jam,06/13/2023 10:23:23 IST,06/14/2023 02:23:23 IST,Service 6
low,100022,Driver installation error,11/29/2023 00:48:30 IST,11/30/2023 18:48:30 IST,Service 7
medium,100026,Toner not recognized,03/25/2023 03:56:18 IST,03/25/2023 20:56:18 IST,Service 3
high,100027,Toner not recognized,11/15/2023 05:05:52 IST,11/18/2023 01:05:52 IST,Service 9
medium,100031,Network issues,04/26/2023 16:21:18 IST,04/28/2023 19:21:18 IST,Service 9
medium,100035,Slow printing,03/03/2023 08:53:48 IST,03/03/2023 22:53:48 IST,Service 5
medium,100040,Driver installation error,03/05/2023 11:12:18 IST,03/07/2023 19:12:18 IST,Service 2
high,100044,Cannot print PDF,04/14/2023 00:40:34 IST,04/14/2023 16:40:34 IST,Service 3
critical,100045,Network issues,09/24/2023 03:46:43 IST,09/26/2023 22:46:43 IST,Service 9
low,100050,Printer not responding,11/08/2023 22:47:28 IST,11/11/2023 10:47:28 IST,Service 7
medium,100055,Low ink warning,08/27/2023 03:45:24 IST,08/29/2023 18:45:24 IST,Service 6
medium,100059,Printer not responding,10/16/2023 21:55:04 IST,10/18/2023 12:55:04 IST,Service 10
medium,100061,Driver installation error,05/21/2023 01:17:33 IST,05/23/2023 13:17:33 IST,Service 3
critical,100063,Printer spooler error,12/17/2023 04:24:37 IST,12/17/2023 14:24:37 IST,Service 7
critical,100064,Toner not recognized,12/21/2023 04:54:57 IST,12/22/2023 14:54:57 IST,Service 6
low,100068,Low ink warning,08/02/2023 06:26:10 IST,08/03/2023 13:26:10 IST,Service 1
critical,100070,Cannot connect to printer,01/19/2023 16:43:21 IST,01/21/2023 07:43:21 IST,Service 2
low,100071,Cannot print PDF,09/18/2023 11:56:26 IST,09/20/2023 23:56:26 IST,Service 7
critical,100076,Cannot connect to printer,10/25/2023 17:09:09 IST,10/27/2023 03:09:09 IST,Service 6
low,100081,Driver installation error,02/21/2023 05:46:57 IST,02/21/2023 16:46:57 IST,Service 5
low,100086,Printer not responding,11/03/2023 17:08:49 IST,11/05/2023 07:08:49 IST,Service 6
critical,100091,Printer spooler error,06/23/2023 06:44:35 IST,06/23/2023 07:44:35 IST,Service 1
low,100095,Cannot print PDF,08/28/2023 15:56:34 IST,08/29/2023 19:56:34 IST,Service 10
high,100098,Printer spooler error,07/25/2023 07:37:54 IST,07/27/2023 03:37:54 IST,Service 1
high,100102,Printer not responding,02/17/2023 05:16:23 IST,02/18/2023 20:16:23 IST,Service 2
critical,100105,Slow printing,10/27/2023 23:48:06 IST,10/28/2023 14:48:06 IST,Service 7
medium,100107,Cannot print PDF,10/25/2023 18:00:39 IST,10/26/2023 11:00:39 IST,Service 1
critical,100110,Low ink warning,06/07/2023 03:19:58 IST,06/10/2023 03:19:58 IST,Service 6
high,100115,Cannot connect to printer,02/07/2023 22:48:32 IST,02/08/2023 19:48:32 IST,Service 9
critical,100120,Toner not recognized,02/20/2023 15:08:46 IST,02/22/2023 20:08:46 IST,Service 5
high,100125,Driver installation error,11/16/2023 03:31:26 IST,11/18/2023 01:31:26 IST,Service 9
high,100127,Low ink warning,01/21/2023 00:38:38 IST,01/22/2023 04:38:38 IST,Service 7
medium,100130,Low ink warning,03/12/2023 08:54:30 IST,03/12/2023 20:54:30 IST,Service 10
low,100132,Paper jam,07/19/2023 23:59:50 IST,07/22/2023 19:59:50 IST,Service 6
medium,100137,Low ink warning,05/26/2023 19:16:50 IST,05/28/2023 04:16:50 IST,Service 4
critical,100139,Toner not recognized,06/28/2023 10:03:06 IST,06/28/2023 20:03:06 IST,Service 9
low,100141,Network issues,06/16/2023 05:36:28 IST,06/17/2023 20:36:28 IST,Service 8
low,100145,Cannot print PDF,04/26/2023 16:29:57 IST,04/27/2023 08:29:57 IST,Service 6
critical,100150,Toner not recognized,04/08/2023 00:24:56 IST,04/09/2023 03:24:56 IST,Service 4
medium,100154,Driver installation error,06/05/2023 16:43:01 IST,06/08/2023 09:43:01 IST,Service 9
critical,100158,Slow printing,05/17/2023 10:19:59 IST,05/19/2023 17:19:59 IST,Service 3
medium,100159,Paper jam,02/05/2023 16:19:20 IST,02/06/2023 13:19:20 IST,Service 10
high,100161,Cannot print PDF,04/18/2023 05:02:09 IST,04/19/2023 16:02:09 IST,Service 4
critical,100163,Printer spooler error,04/19/2023 10:53:56 IST,04/21/2023 13:53:56 IST,Service 8
critical,100166,Printer spooler error,12/18/2023 00:38:40 IST,12/19/2023 11:38:40 IST,Service 4
low,100167,Printer spooler error,12/06/2023 21:18:37 IST,12/09/2023 02:18:37 IST,Service 9
low,100170,Driver installation error,03/15/2023 13:00:09 IST,03/16/2023 00:00:09 IST,Service 1
medium,100171,Driver installation error,02/07/2023 20:45:06 IST,02/10/2023 06:45:06 IST,Service 4
critical,100172,Printer not responding,08/28/2023 08:11:37 IST,08/28/2023 12:11:37 IST,Service 10
medium,100177,Cannot print PDF,11/14/2023 07:14:19 IST,11/15/2023 13:14:19 IST,Service 5
critical,100178,Cannot print PDF,07/03/2023 19:28:25 IST,07/06/2023 15:28:25 IST,Service 3
low,100181,Cannot connect to printer,12/21/2023 20:32:31 IST,12/22/2023 02:32:31 IST,Service 7
high,100185,Cannot connect to printer,06/04/2023 04:34:54 IST,06/05/2023 00:34:54 IST,Service 1
medium,100187,Cannot connect to printer,11/27/2023 23:52:34 IST,11/30/2023 12:52:34 IST,Service 2
high,100188,Printer not responding,12/03/2023 22:21:49 IST,12/05/2023 13:21:49 IST,Service 6
critical,100193,Cannot connect to printer,03/19/2023 16:10:01 IST,03/19/2023 21:10:01 IST,Service 5
