Date,Product,Price,Quantity
2024-04-01,Sea,49.78,3
2024-04-22,Improve,42.72,8
2024-04-17,Baby,32.44,5
2024-04-23,Indeed,73.4,6
2024-04-17,Spring,81.02,3
2024-04-09,Several,32.09,5
2024-04-04,Everything,63.93,2
2024-04-03,Study,30.43,1
2024-04-02,Too,65.64,5
2024-04-05,Even,78.98,8
2024-04-20,Instead,76.73,2
2024-04-11,Glass,62.58,8
2024-04-04,Situation,28.28,1
2024-04-11,Half,16.79,9
2024-04-09,South,30.23,3
2024-03-31,Consider,91.94,9
2024-04-20,Eat,87.79,1
2024-04-11,Region,48.28,3
2024-04-22,Safe,75.49,4
2024-04-22,Father,26.67,1
2024-04-23,Expect,47.13,4
2024-03-30,International,45.91,9
2024-04-07,Service,24.8,1
2024-03-30,Student,85.85,2
2024-04-09,Goal,23.56,6
2024-04-21,Prepare,14.33,8
2024-04-20,Whole,28.07,6
2024-04-16,Light,55.53,3
2024-04-03,Standard,45.86,9
2024-04-03,Poor,83.09,9
2024-04-22,Reality,96.58,10
2024-04-02,Girl,97.67,5
2024-04-21,Goal,69.0,3
2024-04-12,Control,45.54,8
2024-04-28,Bed,87.86,8
2024-04-02,Want,50.03,10
2024-04-15,Time,99.65,9
2024-04-03,Himself,35.67,5
2024-04-18,West,78.77,9
2024-04-05,Company,81.22,10
2024-04-27,Hundred,57.32,1
2024-04-28,Dinner,45.52,10
2024-04-04,Level,89.32,6
2024-04-06,Back,64.17,8
2024-04-28,Sure,63.01,1
2024-04-01,Social,27.97,2
2024-04-04,Weight,44.42,8
2024-04-24,Major,13.28,8
2024-04-13,Fund,80.9,8
2024-04-01,Year,87.33,3
2024-04-01,Quite,62.37,9
2024-04-17,Accept,50.4,4
2024-04-10,Eat,85.33,9
2024-04-13,That,78.99,8
2024-04-05,Stand,74.42,6
2024-04-20,Kid,12.29,8
2024-04-13,Nation,20.51,5
2024-04-12,Director,68.25,2
2024-04-15,Region,63.96,8
2024-04-03,Knowledge,18.22,1
2024-04-12,Card,97.01,7
2024-04-09,Owner,39.61,6
2024-04-10,Movie,97.33,3
2024-04-03,Congress,80.03,2
2024-03-31,City,62.23,3
2024-04-07,Good,85.32,4
2024-04-09,Important,89.94,3
2024-04-16,Dinner,75.03,1
2024-03-31,Population,24.87,5
2024-04-17,He,49.32,9
2024-04-22,Open,59.58,10
2024-04-19,Born,11.63,10
2024-04-20,While,27.99,4
2024-04-25,Conference,68.7,5
2024-03-31,High,18.51,1
2024-04-06,Skin,36.09,4
2024-04-10,Choice,51.71,1
2024-04-27,Develop,45.84,10
2024-03-31,To,91.31,8
2024-04-21,Success,99.69,10
2024-04-26,Yes,80.16,9
2024-04-07,Upon,84.18,1
2024-04-01,Large,85.1,7
2024-03-31,Today,28.12,8
2024-04-11,White,96.76,3
2024-04-23,Friend,50.38,1
2024-04-02,Life,10.95,1
2024-04-02,Down,94.4,2
2024-04-02,Discussion,96.75,3
2024-04-24,Few,43.11,8
2024-04-19,Then,72.26,5
2024-04-09,Analysis,86.44,8
2024-04-06,Item,61.09,4
2024-04-23,Argue,95.37,7
2024-04-21,Property,59.92,4
